"followers","reblogs","ratio","all","reputation","supported","average_pay","name"
"302","49","0.5747126436781609","87","69","50","619","lex"
"380","97","0.5555555555555556","36","71","20","168","med"
"159","22","0.5333333333333333","15","65","8","243","vood.one"
"158","30","0.5","12","65","6","26","anton2ov"
"132","26","0.5","20","62","10","311","artemmaka"
"471","245","0.46153846153846156","13","69","6","148","natabelu"
"473","185","0.4482758620689655","29","70","13","637","veritas"
"143","6","0.42857142857142855","14","64","6","177","registrr"
"366","64","0.41975308641975306","81","69","34","158","romapush"
"698","232","0.4166666666666667","60","75","25","152","antonkostroma"
"231","24","0.38181818181818183","55","66","21","149","akela"
"304","145","0.37254901960784315","51","70","19","100","bovary"
"396","236","0.35714285714285715","42","67","15","135","galina1"
"80","14","0.35714285714285715","14","60","5","213","randall"
"289","142","0.3333333333333333","12","66","4","240","nanibanani"
"220","21","0.3333333333333333","15","61","5","96","yurgent71"
"129","22","0.3333333333333333","12","60","4","188","laracraft"
"270","39","0.3333333333333333","18","63","6","104","limnade"
"138","12","0.3333333333333333","15","61","5","165","kst.krv"
"426","470","0.3333333333333333","12","67","4","54","vict0r"
"989","234","0.3225806451612903","31","72","10","502","yudina-cat"
"319","148","0.3125","16","64","5","77","gapel"
"441","129","0.30303030303030304","33","67","10","572","master-set"
"164","22","0.3","10","60","3","67","ksantoprotein"
"169","30","0.2916666666666667","24","63","7","114","hellen-g"
"735","283","0.2830188679245283","53","70","15","159","ladyzarulem"
"199","38","0.28205128205128205","39","68","11","203","rusalka"
"75","24","0.27906976744186046","43","65","12","112","abloud"
"206","42","0.2727272727272727","66","67","18","120","evrey4ik"
"171","45","0.2692307692307692","26","64","7","88","lengalenga"
"76","20","0.26666666666666666","15","60","4","250","vovochkin"
"285","24","0.2571428571428571","35","71","9","85","blackmoon"
"287","63","0.24444444444444444","45","66","11","358","mamasetta"
"268","43","0.24","25","66","6","220","lenutsa"
"163","13","0.23529411764705882","34","64","8","120","brika"
"159","16","0.23076923076923078","13","67","3","500","gothy"
"227","15","0.23076923076923078","26","61","6","132","amelina.elena"
"217","34","0.23076923076923078","13","62","3","143","cheredin"
"273","56","0.22857142857142856","35","68","8","72","filinpaul"
"283","84","0.22580645161290322","31","67","7","287","orezaku"
"371","64","0.2222222222222222","18","63","4","36","vasilisapor2"
"152","23","0.2222222222222222","18","61","4","112","kertar"
"186","149","0.21052631578947367","19","62","4","29","marcosorte"
"125","35","0.20833333333333334","24","63","5","330","ninjas"
"134","21","0.20512820512820512","39","62","8","97","arystarch"
"184","170","0.2","30","61","6","42","seagull15"
"432","99","0.2","10","71","2","137","natasmr"
"44","13","0.2","15","58","3","36","oksii"
"79","13","0.2","10","60","2","182","vikaromanova"
"295","38","0.1978021978021978","91","67","18","59","eduard"
"507","67","0.17105263157894737","76","70","13","88","mishka"
"173","56","0.16666666666666666","12","61","2","50","angstroem"
"389","102","0.16666666666666666","24","65","4","119","del137"
"109","29","0.16666666666666666","54","64","9","175","supernova"
"135","17","0.16666666666666666","18","58","3","48","boltyn"
"440","124","0.15625","32","70","5","65","vasyl73"
"134","12","0.15151515151515152","33","64","5","252","maryfox"
"128","8","0.15","60","63","9","178","i-findirector"
"92","42","0.14705882352941177","34","62","5","65","uanix"
"156","41","0.14285714285714285","28","60","4","89","mikkitezz"
"380","47","0.14285714285714285","14","71","2","557","jupiter.zeus"
"277","145","0.14285714285714285","14","67","2","152","ellmill"
"51","2","0.13333333333333333","30","59","4","111","obrazhizni"
"62","5","0.13157894736842105","38","59","5","89","statistics"
"386","182","0.125","16","70","2","29","ohlamoon"
"328","238","0.125","24","66","3","81","baltiyka"
"276","59","0.125","16","63","2","62","kavalsky"
"141","35","0.125","32","58","4","71","ocsi"
"67","9","0.11764705882352941","17","61","2","156","ruslandis"
"55","9","0.1111111111111111","18","63","2","139","nataliaromashina"
"116","53","0.11016949152542373","118","64","13","79","varja"
"457","99","0.1","20","72","2","216","varwar"
"136","10","0.1","10","57","1","23","bospo"
"112","21","0.1","10","61","1","33","miroslav"
"117","13","0.09615384615384616","52","60","5","94","ifingramota"
"30","8","0.09523809523809523","21","59","2","195","paintertomsk"
"209","42","0.09210526315789473","76","63","7","53","aretanya"
"75","5","0.09090909090909091","11","57","1","21","sareon"
"59","1","0.09090909090909091","11","52","1","19","alexey2954"
"296","143","0.09","100","66","9","104","oksi-m"
"341","268","0.08333333333333333","12","66","1","39","oksana0407"
"109","8","0.08333333333333333","12","58","1","38","stone"
"154","23","0.08333333333333333","12","60","1","18","chugoi"
"29","1","0.07692307692307693","13","55","1","129","medicalinfo"
"286","82","0.075","40","69","3","84","efim-off"
"317","55","0.07407407407407407","27","64","2","91","talia"
"548","201","0.07142857142857142","14","71","1","136","nikalaich"
"644","364","0.07142857142857142","28","71","2","104","archibald116"
"113","17","0.06666666666666667","15","64","1","188","hiking"
"295","94","0.05","40","67","2","58","nims55"
"170","22","0.047619047619047616","21","62","1","112","borisss"
"294","35","0.047619047619047616","21","64","1","40","voronchihin"
"7","3","0.045454545454545456","22","52","1","19","stansnow"
"107","4","0.045454545454545456","22","56","1","10","alenafish"
"130","26","0.041666666666666664","24","64","1","32","viromiro"
"223","35","0.041666666666666664","24","66","1","258","biorad"
"99","17","0.04","25","56","1","26","gudbrud"
"292","106","0.04","50","62","2","60","duremarr"
"199","20","0.038461538461538464","26","64","1","76","varya-davydova"
"125","51","0.03225806451612903","31","63","1","43","yurashka1312"
"129","20","0.029411764705882353","34","62","1","130","vnukkarpov"
"84","10","0.017543859649122806","57","65","1","30","thebug"
"138","55","0.01639344262295082","61","66","1","125","mommo"
