"acc","balance","created","golospower","gp_golos_power","mgests","reputation","sbd","total_gp","vesting"
"just-life","24.339 GOLOS","August 08, 2017","4840","100284","18","68","1716.340 GBG","105124","18229784.419321 GESTS"
"vp-mir-kino","4.160 GOLOS","August 07, 2017","4934","92516","18","68","7.234 GBG","97450","18584607.340705 GESTS"
"vp-golos-tv","0.517 GOLOS","August 07, 2017","3356","30180","12","63","10732.271 GBG","33536","12641404.477071 GESTS"
"vp-handmade","0.201 GOLOS","August 28, 2017","4995","28018","18","68","357.519 GBG","33013","18813285.763267 GESTS"
"vox.mens","18095.847 GOLOS","August 10, 2017","6112","20275","23","68","4423.128 GBG","26387","23020074.692520 GESTS"
"recenzent","1178.067 GOLOS","August 16, 2017","5101","20055","19","66","1613.411 GBG","25156","19213685.961227 GESTS"
"istfak","2273.954 GOLOS","August 12, 2017","9201","10125","34","70","553.717 GBG","19326","34653622.569028 GESTS"
"vp-minsk","3824.067 GOLOS","August 09, 2017","4389","10097","16","67","1842.724 GBG","14486","16531748.261846 GESTS"
"rblogger","5012.873 GOLOS","May 27, 2017","3230","10070","12","67","260.408 GBG","13300","12168247.790491 GESTS"
"vp-zarubezhje","0.338 GOLOS","August 30, 2017","2911","10052","10","66","2463.244 GBG","12963","10964237.658945 GESTS"
"vp-papamama","23.372 GOLOS","August 17, 2017","2545","10056","9","66","862.272 GBG","12601","9586118.465159 GESTS"
"vp-cryptorostov","1626.355 GOLOS","August 06, 2017","9592","","36","68","647.978 GBG","9592","36126691.745199 GESTS"
"vp-pedsovet","19.877 GOLOS","August 28, 2017","2286","5012","8","66","217.732 GBG","7298","8611224.277061 GESTS"
"vp-pravogolosa","60.659 GOLOS","August 13, 2017","6517","","24","67","2020.174 GBG","6517","24547163.987725 GESTS"
"vp-magic-india","0.102 GOLOS","August 23, 2017","5298","","19","65","89.891 GBG","5298","19953611.061515 GESTS"
"vp-photo.pro","4029.057 GOLOS","August 22, 2017","3909","3","14","67","1204.142 GBG","3912","14722164.690374 GESTS"
"vpodessa","25.728 GOLOS","August 22, 2017","2731","3","10","65","203.151 GBG","2734","10286565.311976 GESTS"
"vp-golos-est","0.371 GOLOS","August 18, 2017","2229","3","8","64","411.062 GBG","2232","8395859.209682 GESTS"
"vp-kulinar-club","18.780 GOLOS","August 27, 2017","2101","","7","65","3027.580 GBG","2101","7915569.748685 GESTS"
